,ID,발생일시,사고인지 시간,날씨,기온,습도,공사종류,연면적,층 정보,인적사고,물적사고,공종,사고객체,작업프로세스,장소,부위,사고원인,재발방지대책 및 향후조치계획
194,TRAIN_00194,2023-12-19 오후 04:00,정규작업 -,맑음,12℃,50%,건축 / 건축물 / 공동주택,"38,259.01㎡","지상 18층, 지하 2층",떨어짐(2미터 미만),없음,건축 > 도장공사,기타 > 기타,도장작업,공동주택 / 외부,기타 / 사다리,구미인의대동다숲아파트단지내 000씨가 동호수 페인트작업중 A형사다리에서 내려오며 미끄러져 떨어졌음.,사다리작업 시 2인 1조로 작업하도록 조치하는 계획.
201,TRAIN_00201,2023-12-19 오후 02:40,정규작업 -,맑음,-15℃,55%,건축 / 건축물 / 공동주택,"227,902㎡","지상 29층, 지하 2층",끼임,없음,기타 > 기타,기타 > 기타,설치작업,공동주택 / 외부,기타 / 옆,2023년 12월 19일(화) 당 현장 Gate 1번 부근 우수 맨홀(No.88) 설치 작업 중 맨홀을 인양하기 위한 인양고리를 탈·부착 하는 중 장비의 버켓에 왼쪽 팔이 눌려 일어난 사고,장비 작업 시 신호수 배치를 통한 주변 근로자 출입 통제와 중량물 취급 및 줄걸이 작업 시 장비와 작업자 간 소통 교육 실시.
204,TRAIN_00204,2023-12-19 오후 01:30,정규작업 -,맑음,5℃,10%,건축 / 건축물 / 공동주택,"119,863.81㎡","지상 20층, 지하 2층",넘어짐(미끄러짐),없음,건축 > 방수공사,기타 > 기타,보수 및 교체작업,공동주택 / 내부,기타 / 상부(위),"소화전물탱크실 방수 작업 중 안전보호구 착용하였으나, 미끄러짐으로 인해 경상","작업 전 작업구간 위험요소(추락, 미끄럼) 관리자가 직접 확인 후 작업자 투입, 이동 및 작업구간 정리정돈과 충분한 조도 확보."
208,TRAIN_00208,2023-12-19 오전 10:30,정규작업 -,맑음,12℃,49%,건축 / 건축물 / 근린생활시설,"7,994.94㎡","지상 18층, 지하 1층",넘어짐(미끄러짐),없음,토목 > 철근콘크리트공사,부재 > 슬래브,조립작업,근린생활시설 / 내부,슬래브 / 상부(위),작업자 업무미숙 및 부주의,통행로 작업발판 설치와 동일 사고 예방을 위한 조치 예정.
211,TRAIN_00211,2023-12-19 오전 10:00,정규작업 -,흐림,0℃,60%,건축 / 건축물 / 공동주택,"350,239㎡","지상 35층, 지하 3층",넘어짐(미끄러짐),없음,기계설비 > 기계설비공사,기타 > 기타,이동,공동주택 / 내부,기타 / 상부(위),작업자 개인 부주의,보행자 이동구간 내 결빙구간 미끄럼 방지 조치 실시 및 해당 사고건 TBM 시 사고 사례 전파.
214,TRAIN_00214,2023-12-19 오전 09:00,정규작업 -,강설,-5℃,30%,건축 / 건축물 / 공동주택,"7,819.25㎡","지상 6층, 지하 1층",기타,없음,건축 > 조적공사,건설자재 > 자재,운반작업,공동주택 / 외부,자재 / 바닥,겨울철 추운날씨에 충분항 몸풀기를 하지않은상태에서 갑자기 무거운 물건을 들어올리는과정에서 근육손상,겨울철 충분한 몸풀기 시행과 중량물 취급 시 2인 1조 작업을 통한 재발 방지 대책 및 공사현장 행정지도 계획.
218,TRAIN_00218,2023-12-18 오후 03:30,정규작업 -,맑음,2℃,10%,건축 / 건축물 / 공장,"1,430.72㎡","지상 1층, 지하 0층",넘어짐(기타),없음,건축 > 가설공사,가시설 > 비계,조립작업,공장 / 외부,비계 / 상부(위),강한돌풍으로 인한 비계 부딪힘,기상 상태 확인 후 강한 돌풍 시 크레인 작업 중지.
221,TRAIN_00221,2023-12-18 오후 02:40,정규작업 -,맑음,6℃,40%,건축 / 건축물 / 공동주택,"222,074.44㎡","지상 32층, 지하 4층",넘어짐(미끄러짐),없음,건축 > 가설공사,가시설 > 거푸집,설치작업,공동주택 / 내부,거푸집 / 상부(위),작업경로 내 결빙구간 관리 미흡,"결빙구간 제거와 관리자 사전 확인, 근로자 안전교육 및 현장관리 철저, 상습 결빙구간 미끄러짐 주의 표지 게시 등의 조치 계획."
227,TRAIN_00227,2023-12-18 오전 10:30,정규작업 -,맑음,-10℃,45%,건축 / 건축물 / 공동주택,"101,293.80㎡","지상 25층, 지하 2층",찔림,없음,건축 > 철근콘크리트공사,건설자재 > 철근,이동,공동주택 / 613동 주변 옹벽,철근 / 상부(위),빠르게 이동하기 위하여 근로자 이동통로를 이용하지 않고 수직철근 시공장소를 가로질러 가다가 사고 발생,"관리감독자의 수시 점검 활동 강화와 2인 1조 작업 실시 교육, 작업 전 TBM 시 작업 방법 교육 및 근로자 통행로 추가 확보를 통한 근로자의 불안전한 행동 예방."
228,TRAIN_00228,2023-12-18 오전 10:00,정규작업 -,맑음,-7℃,47%,건축 / 건축물 / 문화 및 집회시설,"14,336.50㎡","지상 3층, 지하 1층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,기타 > 기타,정리작업,문화 및 집회시설 / 내부,기타 / 바닥,작업자가 펌프 및 호스 정리중 앉았다 일어나면서  미끄러져 넘어짐,"전 근로자 동종사고 예방을 위한 사고사례 전파 교육, 자재 정리 및 이동 시 2인 1조 작업 진행, 작업 전 충분한 몸 풀기 실시, 자재 운반 및 정리 시 무리한 단독 작업 지양."
232,TRAIN_00232,2023-12-18 오전 08:30,정규작업 -,맑음,3℃,27%,건축 / 건축물 / 공동주택,"93,527㎡","지상 24층, 지하 3층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,시설물 > 건물,운반작업,공동주택 / 내부,건물 / 바닥,자재운반 중 발 미끄러짐에 의해 땅에서 60cm 높이의 시스템비계수평파이프에 흉부 부딫힘,결빙구간 발생 시 원청으로 전달하고 선 안전조치 후 작업하도록 교육하는 재발 방지 대책과 정기안전교육을 통해 모든 작업자에게 결빙구간 발생 시 선조치 후 작업을 교육하는 향후 조치 계획.
234,TRAIN_00234,2023-12-18 오전 07:20,정규작업 -,흐림,7℃,60%,건축 / 건축물 / 공동주택,"251,389.47㎡","지상 4층, 지하 48층",물체에 맞음,없음,건축 > 철근콘크리트공사,가시설 > 거푸집,형틀 및 목공,공동주택 / 인접주변,거푸집 / 옆,형틀 거푸집 설치 작업 후 고정작업 중 / 기둥 거푸집을 고정하기 위해 라쳇자동바를 설치하고 조임 작업을 진행하던 중 라쳇자동바의 철재고리 연결부가 파단되며 반동으로 튀어 재해자의 구강부를 타격하여 치아가 손상됨 / 중국산 라쳇자동바의 안전성 확인 불가(국산 제품과 비교한 결과 파단부위 철재고리가 가공이 되지 않고 날카로워 압력이 가해지자 라쳇자동바의 철재고리 연결부위가 파단된 것으로 추정됨),기존 중국산 라쳇자동바를 국산으로 전면 교체하고 자재 입고 시 검수 철저 및 작업 전 자재의 손상 유무를 확인하여 작업하는 방안.
236,TRAIN_00236,2023-12-18 오전 05:50,작업 전 -,흐림,-5℃,80%,건축 / 건축물 / 문화 및 집회시설,"39,725㎡","지상 2층, 지하 1층",넘어짐(미끄러짐),없음,기타 > 기타,기타 > 기타,청소작업,문화 및 집회시설 / 현장사무실,기타 / 바닥,"가설사무실 2층 상황실 앞 복도 청소 중, 주말 간 쌓인 눈에 의해 미끄러지면서 손을 바닥에 짚고 그로 인해 손목이 골절된 재해","해당 구간 미끄럼방지 조치로 부직포 설치, 강우 및 강설 예보 시 근무시간 조정, 작업 전 TBM을 통한 동절기 위험요인 및 대응방안 전파 및 공유."
237,TRAIN_00237,2023-12-17 오후 03:50,정규작업 -,강우,5℃,90%,건축 / 건축물 / 방송통신시설,"36,518.35㎡","지상 10층, 지하 5층",질병,없음,건축 > 철근콘크리트공사,질병 > 질병,운반작업,방송통신시설 / 내부,질병 / 바닥,시스템 동바리 자재를 쭈그려 앉은 상태에서 들고 일어서던 중 허리 통증을 호소함,중량물 운반 작업방법 교육 실시와 TBM 시 스트레칭을 통한 근골계질환 예방.
240,TRAIN_00240,2023-12-16 오후 01:30,정규작업 -,강설,-3℃,79%,건축 / 건축물 / 공동주택,"191,999.77㎡","지상 30층, 지하 2층",기타,없음,기타 > 기타,기타 > 비산물,청소작업,공동주택 / 외부,비산물 / 앞,바람에 의한 염화칼슘 비산,"직영팀 사고사례 전파 및 동종사례 방지를 위한 특별교육 실시와 신규자 채용 시 사고사례 교안 활용, 작업 전 작업방법 수립 및 TBM을 통한 위험요인 전파가 포함된 향후 조치 계획."
245,TRAIN_00245,2023-12-16 오전 08:50,정규작업 -,맑음,3℃,32%,건축 / 건축물 / 업무시설,"463,098㎡","지상 11층, 지하 7층",넘어짐(물체에 걸림),없음,건축 > 철근콘크리트공사,건설자재 > 자재,정비작업,업무시설 / 내부,자재 / 상부(위),작업장 내 이동시 바닥의 장애물 확인 미흡,"작업장 내 걸려 넘어질 위험이 있는 장애물 즉시 제거와 넘어짐 사고 관련 교육 실시, 바닥의 안전하고 청결한 상태 유지 및 사고사례 전파와 위험성 평가 반영."
246,TRAIN_00246,2023-12-16 오전 08:00,정규작업 -,맑음,2℃,45%,토목 / 상하수도 / 기타,-,-,넘어짐(미끄러짐),없음,토목 > 철근콘크리트공사,기타 > 기타,조립작업,기타 / 내부,기타 / 바닥,"맨홀 설치를 위해 거푸집을 설치하는 과정에서 맨홀에 연결되는 관로의 흙을 밟고 미끄러졌으며, 그 과정에서 자재와 충돌함",겨울철 현장 내 미끄럼 방지를 위해 영하의 기온이나 바닥이 미끄러운 상태에서는 작업 중지 및 현장 주변 청소와 자재 정리정돈에 만전을 기하는 조치.
248,TRAIN_00248,2023-12-16 오전 06:40,작업 전 -,강우,-10℃,20%,건축 / 건축물 / 공동주택,"116,930.78㎡","지상 25층, 지하 3층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,가시설 > 가설계단,이동,공동주택 / 인접주변,가설계단 / 바닥,강설로 인한 눈 및 결빙 구간을 인지하지 못함,"안전교육 실시, 재설용 모래 비치 및 결빙 제거 수시 확인을 통한 재발 방지 대책 마련."
259,TRAIN_00259,2023-12-14 오후 01:30,정규작업 -,강우,9℃,80%,토목 / 터널 / 도로터널,-,-,물체에 맞음,없음,토목 > 터널공사,기타 > 기타,운반작업,도로터널 / 내부,기타 / 바닥,라이닝철근 받침용 목재를 터널 입구에서 안쪽 현장까지 현장 작업자가 수레 운반하는 과정 받침용 목재 외 수레 운반에 부적합한 긴 목재를 가지고 운반하다가 터널 중간에서 손수레가 전도 됨으로 인해 터널 지면 왼쪽 바닥으로 넘어졌고 튀어오른 목재가 왼쪽 눈밑을 타격함,"소자재 운반 교육 실시와 장비를 활용한 장척물 자재 운반 대체, 재발 방지대책 이행 사항에 대한 현장 수시 점검."
261,TRAIN_00261,2023-12-14 오후 01:00,정규작업 -,흐림,9℃,90%,건축 / 건축물 / 공동주택,"228,908.52㎡","지상 40층, 지하 5층",끼임,없음,건축 > 해체 및 철거공사,가시설 > 거푸집,해체작업,공동주택 / 내부,거푸집 / 거푸집 사이,해체된 거푸집 정리 중 거푸집 사이 손가락 협착,안전교육 및 작업방법 변경(기구 이용) 실시
263,TRAIN_00263,2023-12-14 오전 10:30,정규작업 -,맑음,5℃,63%,건축 / 건축물 / 공장,"53,802㎡","지상 11층, 지하 2층",넘어짐(미끄러짐),없음,건축 > 타일 및 돌공사,기타 > 기타,이동,공장 / 내부,기타 / 바닥,"전방 주시 미흠, 떨어진 뿜칠 자재 정리정돈 미흡",작업구간 바닥 뿜칠자재 정리정돈 및 하부 합판 보양과 작업 중 수시 청소 실시.
265,TRAIN_00265,2023-12-14 오전 09:40,정규작업 -,맑음,10℃,50%,건축 / 건축물 / 공장,"68,881㎡","지상 3층, 지하 0층",화상,없음,건축 > 가설공사,가시설 > 비계,해체작업,공장 / 내부,비계 / 상부(위),"작업 전 비계에 있던 잔류수 미 확인, 비닐 제거시 하부에서 제거하여 접촉","비계 해체 작업 전 잔류수 확인, 비닐 제거 시 상부에서 비닐 제거하여 접촉 위험을 제거하고, 내화학복 착용 후 틈새를 없도록 보강하며 안전관리를 철저히 하는 조치."
270,TRAIN_00270,2023-12-13 오후 03:40,정규작업 -,맑음,10℃,35%,건축 / 건축물 / 업무시설,"463,098㎡","지상 11층, 지하 7층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,시설물 > 건물,마감작업,업무시설 / 내부,건물 / 바닥,2023년 12월 13일(수) 15:40분경 SITEⅠ C동 지상 8층 남측면 SWC발판 상부에서커튼월 상부 고정작업 중인 재해자가 작업을 위해 앉았다 일어나는 중 SWC발판과 발판사이 틈새(간격:약10mm)에 발이 걸려 발목을 접질린 사고,틈새 과다구간 점검 및 덮개 설치와 근로자 재발방지 예방 교육 실시.
271,TRAIN_00271,2023-12-13 오후 03:30,정규작업 -,맑음,8℃,70%,건축 / 건축물 / 공동주택,"88,506㎡","지상 25층, 지하 3층",떨어짐(2미터 미만),없음,건축 > 철근콘크리트공사,가시설 > 비계,정리작업,공동주택 / 내부,비계 / 상부(위),타워2호기 기초 옹벽에 있던 핀을 제거하기 위하여 1.2m 말비계 작업 중 말비계 좌측 다리가 흔들리면서 중심을 잃고 떨어짐,"말비계 설치 전 주변상태 확인 및 보강, 정리 조치, 말비계 단부 사용 금지 교육, 2인1조 작업 진행."
274,TRAIN_00274,2023-12-13 오후 01:40,정규작업 -,맑음,0℃,0%,건축 / 건축물 / 자동차 관련시설,"1,975㎡","지상 1층, 지하 1층",넘어짐(미끄러짐),없음,건축 > 철근콘크리트공사,기타 > 기타,기타,자동차 관련시설 / 내부,기타 / 바닥,작업중인 근로자가 미끄러지며 사고 발생,미끄럼 구간 확인 및 미끄럼 방지 발판 설치.
280,TRAIN_00280,2023-12-13 오전 09:40,정규작업 -,흐림,10℃,71%,건축 / 건축물 / 운동시설,"2,996.81㎡","지상 2층, 지하 1층",떨어짐(5미터 이상 ~ 10미터 미만),없음,건축 > 조적공사,기타 > 기타,이동,운동시설 / 내부,기타 / 하부(아래),"2023년 12월13일 오전 09시 20분경부터 30분경 사이에 옥상층에서 블록공들의 작업내용을 엄** 실장이 설명해주고 작업지시를 하였으며, 그때까지도 연도 덮개는 있었으며, 그 개구부 덮개위에서 작업지시를 하였다 합니다. 현장소장(홍** 소장)님도 옥상에서 창호업체하고 작업 협의를 하고 현장에 있었는데, 갑자기 9시40분경 2층 PS실로 조적공 1명이 추락하였다 하여, 작업자가 추락한 상황을 파악하였으며, 추락시 안전장구는 착용하고 있어서, 머리에 약간의 출혈만 보였으며, 작업자가 왜 옥상층 연도 개구부의 덮게를 치우고 추락했는지의 여부는 목격자가 없어서 확인은 안되고 있습니다. 추락발생시 곧바로 의식을 확인하고 재해예방기술지도 현장기술지도 요원이 응급조치하고  현장소장이 119에 긴급연락하여 10:00경 엠브란스가 도착하였고, 긴급조치 후 아주대 병원으로 긴급 후송하였습니다.",2023.12.14. 화성시 자문위원과의 안전점검 및 시정조치와 벌점심의 검토.
285,TRAIN_00285,2023-12-13 오전 09:00,정규작업 -,흐림,9℃,64%,건축 / 건축물 / 공동주택,"8,820.50㎡","지상 9층, 지하 0층",물체에 맞음,낙하,건축 > 철근콘크리트공사,건설자재 > 자재,운반작업,공동주택 / 내부,자재 / 상부(위),- 2인1조작업중 신호체계 불일치,"신호체계 일치 후 2인 1조 작업 실시와 작업공종별 작업지휘자 배치 운영, 위험성 평가 반영 및 안전 교육 실시, 일일 TBM 활동과 근로자 정기 안전 교육 시 사고 사례 전파."
